epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9047,1.20318,2.56701,1.19037,0.40212,0.36552,0.33325,0.22008,1.15362,1.88115,1.09642,0.000364966,0.000364966,0.000364966
2,35.1182,1.18022,1.60316,1.15121,0.43662,0.3013,0.28444,0.18832,1.23452,1.94177,1.16612,0.000720741,0.000720741,0.000720741
3,48.9594,1.26991,1.54331,1.19746,0.40186,0.31405,0.28794,0.17741,1.28351,2.59301,1.22668,0.00106185,0.00106185,0.00106185
4,62.8735,1.25191,1.42778,1.20431,0.38786,0.38592,0.33242,0.21887,1.28036,3.00898,1.16626,0.00104501,0.00104501,0.00104501
5,76.6487,1.21594,1.33698,1.18013,0.55848,0.40383,0.42118,0.27776,1.21083,1.91739,1.12436,0.00102301,0.00102301,0.00102301
6,90.456,1.182,1.21654,1.15037,0.72438,0.45091,0.51098,0.33362,1.19463,1.43142,1.1204,0.00100101,0.00100101,0.00100101
7,104.231,1.1478,1.15017,1.12298,0.64585,0.47623,0.50139,0.32215,1.14786,1.50278,1.07032,0.000979013,0.000979013,0.000979013
8,117.962,1.07169,1.0142,1.10792,0.75532,0.51059,0.59711,0.40883,1.09419,1.14067,1.06789,0.000957015,0.000957015,0.000957015
9,131.758,1.09278,1.02887,1.09678,0.80399,0.56362,0.63546,0.43228,1.06297,1.06106,1.06104,0.000935018,0.000935018,0.000935018
10,145.542,1.06296,0.93746,1.08777,0.75529,0.6011,0.67341,0.46284,1.01492,0.96538,1.01167,0.00091302,0.00091302,0.00091302
11,159.348,1.0249,0.87836,1.07219,0.76954,0.62463,0.69749,0.48279,1.02274,0.90607,1.01621,0.000891022,0.000891022,0.000891022
12,173.183,0.99231,0.87393,1.06372,0.80814,0.59574,0.66978,0.46985,0.99639,0.89342,1.02817,0.000869024,0.000869024,0.000869024
13,186.867,0.99015,0.8446,1.05416,0.82111,0.60486,0.69175,0.48725,0.97704,0.89406,0.99921,0.000847026,0.000847026,0.000847026
14,200.681,0.97074,0.80576,1.04596,0.78344,0.62627,0.71332,0.49148,0.97673,0.881,0.98882,0.000825029,0.000825029,0.000825029
15,214.449,0.97333,0.76651,1.03307,0.82708,0.67459,0.73721,0.51455,0.96033,0.77086,0.98887,0.000803031,0.000803031,0.000803031
16,228.365,0.9612,0.75075,1.03264,0.85225,0.64093,0.73831,0.51581,0.96914,0.80681,0.98272,0.000781033,0.000781033,0.000781033
17,242.383,0.92293,0.69994,1.01767,0.84387,0.64646,0.74023,0.52713,0.91962,0.83536,0.96836,0.000759035,0.000759035,0.000759035
18,256.368,0.92523,0.70821,1.01995,0.90758,0.66097,0.75773,0.53718,0.91181,0.72585,0.96476,0.000737037,0.000737037,0.000737037
19,270.209,0.9157,0.69345,1.02347,0.82016,0.72604,0.78073,0.55271,0.90379,0.67661,0.96313,0.00071504,0.00071504,0.00071504
20,284.04,0.86934,0.65257,0.99448,0.85131,0.7259,0.78744,0.55807,0.87961,0.6522,0.96962,0.000693042,0.000693042,0.000693042
21,297.833,0.8896,0.65148,1.00297,0.85437,0.72961,0.79951,0.56323,0.88811,0.65288,0.96023,0.000671044,0.000671044,0.000671044
22,311.603,0.86793,0.64209,0.99742,0.83595,0.72599,0.79625,0.57185,0.88951,0.63795,0.95785,0.000649046,0.000649046,0.000649046
23,325.373,0.8679,0.62228,0.99346,0.88984,0.7389,0.80839,0.57549,0.86598,0.61609,0.94885,0.000627048,0.000627048,0.000627048
24,339.178,0.86204,0.63116,0.99033,0.86448,0.74033,0.81063,0.58391,0.8591,0.61188,0.952,0.000605051,0.000605051,0.000605051
25,352.874,0.82927,0.58921,0.98103,0.87707,0.75531,0.81152,0.57996,0.85819,0.59859,0.93779,0.000583053,0.000583053,0.000583053
26,366.484,0.82774,0.58375,0.97957,0.87363,0.74359,0.81732,0.58444,0.84727,0.5845,0.9455,0.000561055,0.000561055,0.000561055
27,380.329,0.81644,0.55984,0.96814,0.85865,0.77796,0.82081,0.59315,0.83261,0.56216,0.93321,0.000539057,0.000539057,0.000539057
28,394.136,0.82852,0.57378,0.98292,0.9114,0.75364,0.82413,0.59174,0.8241,0.58216,0.93353,0.000517059,0.000517059,0.000517059
29,407.782,0.79586,0.54723,0.9576,0.89293,0.76271,0.82902,0.6159,0.81329,0.55956,0.92038,0.000495062,0.000495062,0.000495062
30,421.526,0.80146,0.54742,0.96307,0.88248,0.77827,0.82905,0.60491,0.82788,0.55589,0.92659,0.000473064,0.000473064,0.000473064
31,435.212,0.78161,0.5262,0.95539,0.89314,0.78112,0.84195,0.60747,0.81685,0.54593,0.93684,0.000451066,0.000451066,0.000451066
32,448.878,0.77315,0.53028,0.96646,0.91247,0.78747,0.84501,0.619,0.79196,0.53481,0.91876,0.000429068,0.000429068,0.000429068
33,462.599,0.78574,0.52145,0.95563,0.88237,0.77833,0.8349,0.61561,0.79219,0.52884,0.92887,0.00040707,0.00040707,0.00040707
34,476.227,0.74751,0.49279,0.95243,0.90212,0.78853,0.84426,0.61698,0.80196,0.53591,0.93007,0.000385073,0.000385073,0.000385073
35,489.876,0.74845,0.49627,0.94709,0.92347,0.78967,0.85327,0.63016,0.76953,0.50092,0.90942,0.000363075,0.000363075,0.000363075
36,503.722,0.75156,0.48721,0.94154,0.91533,0.81458,0.86869,0.63886,0.76906,0.49608,0.90232,0.000341077,0.000341077,0.000341077
37,517.564,0.73991,0.47799,0.94244,0.91926,0.78861,0.8634,0.63038,0.75701,0.48869,0.90372,0.000319079,0.000319079,0.000319079
38,531.14,0.71373,0.45878,0.93604,0.89358,0.79477,0.85275,0.62931,0.78041,0.50182,0.90694,0.000297081,0.000297081,0.000297081
39,544.753,0.70642,0.45339,0.92954,0.91523,0.81746,0.87307,0.64716,0.7446,0.46556,0.90591,0.000275084,0.000275084,0.000275084
40,558.514,0.71006,0.45043,0.92642,0.89235,0.80554,0.85037,0.63551,0.74694,0.48702,0.90454,0.000253086,0.000253086,0.000253086
41,572.126,0.69778,0.44506,0.92671,0.91836,0.79644,0.86101,0.64103,0.73762,0.4736,0.90294,0.000231088,0.000231088,0.000231088
42,585.734,0.68342,0.43202,0.92684,0.9071,0.82505,0.86989,0.6517,0.71837,0.45573,0.89208,0.00020909,0.00020909,0.00020909
43,599.478,0.64625,0.42165,0.91029,0.93011,0.82243,0.88175,0.66195,0.70634,0.45445,0.89006,0.000187092,0.000187092,0.000187092
44,613.247,0.64563,0.41621,0.90951,0.91507,0.81719,0.87077,0.66446,0.70093,0.46188,0.88679,0.000165095,0.000165095,0.000165095
45,626.981,0.66464,0.4246,0.91612,0.92763,0.8238,0.88083,0.67622,0.6772,0.44273,0.881,0.000143097,0.000143097,0.000143097
46,640.801,0.64197,0.41497,0.91278,0.91973,0.81878,0.87211,0.67154,0.66623,0.43969,0.87812,0.000121099,0.000121099,0.000121099
47,654.389,0.62569,0.4021,0.90506,0.92983,0.82537,0.87742,0.67712,0.66007,0.43116,0.87524,9.91012e-05,9.91012e-05,9.91012e-05
48,668.164,0.63937,0.40241,0.90434,0.93331,0.82168,0.87677,0.67984,0.65254,0.42158,0.87265,7.71034e-05,7.71034e-05,7.71034e-05
49,681.933,0.61692,0.3942,0.90195,0.94003,0.82581,0.88292,0.68614,0.64458,0.42644,0.86923,5.51056e-05,5.51056e-05,5.51056e-05
50,695.705,0.6096,0.39276,0.9037,0.92417,0.83165,0.88133,0.68981,0.63691,0.42308,0.8705,3.31078e-05,3.31078e-05,3.31078e-05
